date,time,6908
03/11/2022,00:00:00,53
03/11/2022,00:00:30,60
03/11/2022,00:01:00,68
03/11/2022,00:01:30,62
03/11/2022,00:02:00,67
03/11/2022,00:02:30,70
03/11/2022,00:03:00,66
03/11/2022,00:03:30,77
03/11/2022,00:04:00,66
03/11/2022,00:04:30,66
03/11/2022,00:05:00,64
03/11/2022,00:05:30,75
03/11/2022,00:06:00,-1
03/11/2022,00:06:30,-1
03/11/2022,00:07:00,66
03/11/2022,00:07:30,-1
03/11/2022,00:08:00,69
03/11/2022,00:08:30,63
03/11/2022,00:09:00,65
03/11/2022,00:09:30,64
03/11/2022,00:10:00,67
03/11/2022,00:10:30,59
03/11/2022,00:11:00,61
03/11/2022,00:11:30,-1
03/11/2022,00:12:00,-1
03/11/2022,00:12:30,65
03/11/2022,00:13:00,-1
03/11/2022,00:13:30,54
03/11/2022,00:14:00,62
03/11/2022,00:14:30,55
03/11/2022,00:15:00,69
03/11/2022,00:15:30,-1
03/11/2022,00:16:00,58
03/11/2022,00:16:30,50
03/11/2022,00:17:00,73
03/11/2022,00:17:30,-1
03/11/2022,00:18:00,62
03/11/2022,00:18:30,63
03/11/2022,00:19:00,56
03/11/2022,00:19:30,64
03/11/2022,00:20:00,55
03/11/2022,00:20:30,61
03/11/2022,00:21:00,66
03/11/2022,00:21:30,63
03/11/2022,00:22:00,54
03/11/2022,00:22:30,67
03/11/2022,00:23:00,69
03/11/2022,00:23:30,62
03/11/2022,00:24:00,60
03/11/2022,00:24:30,57
03/11/2022,00:25:00,65
03/11/2022,00:25:30,-1
03/11/2022,00:26:00,77
03/11/2022,00:26:30,72
03/11/2022,00:27:00,65
03/11/2022,00:27:30,-1
03/11/2022,00:28:00,-1
03/11/2022,00:28:30,66
03/11/2022,00:29:00,64
03/11/2022,00:29:30,63
03/11/2022,00:30:00,61
03/11/2022,00:30:30,73
03/11/2022,00:31:00,70
03/11/2022,00:31:30,-1
03/11/2022,00:32:00,68
03/11/2022,00:32:30,61
03/11/2022,00:33:00,-1
03/11/2022,00:33:30,54
03/11/2022,00:34:00,57
03/11/2022,00:34:30,62
03/11/2022,00:35:00,61
03/11/2022,00:35:30,-1
03/11/2022,00:36:00,66
03/11/2022,00:36:30,69
03/11/2022,00:37:00,69
03/11/2022,00:37:30,70
03/11/2022,00:38:00,59
03/11/2022,00:38:30,-1
03/11/2022,00:39:00,57
03/11/2022,00:39:30,-1
03/11/2022,00:40:00,60
03/11/2022,00:40:30,65
03/11/2022,00:41:00,67
03/11/2022,00:41:30,67
03/11/2022,00:42:00,-1
03/11/2022,00:42:30,66
03/11/2022,00:43:00,-1
03/11/2022,00:43:30,-1
03/11/2022,00:44:00,69
03/11/2022,00:44:30,58
03/11/2022,00:45:00,63
03/11/2022,00:45:30,65
03/11/2022,00:46:00,-1
03/11/2022,00:46:30,64
03/11/2022,00:47:00,69
03/11/2022,00:47:30,64
